dataset,method,seed,experiment_group,credit_rule,local_steps,credit_dynamics_order,parallel_relaxation_rounds_per_batch,neighbor_jacobian_actions_per_batch,first_order_relaxation_rate,best_epoch,stopped_epoch,early_stopped,best_validation_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy,balanced_accuracy,macro_f1,elapsed_seconds,n_train,n_validation,n_test,n_features,n_classes,affine_depth,parameter_count,calibrated_local_coupling,calibration_target_energy,calibration_achieved_energy,wave_energy,metric_energy,edge_energy,metric_eig_min,metric_eig_max,metric_condition_bound
moons,BP-MWBP,2,core,bp,0,0,0,0,,126,146,True,0.0921087223141,0.10483156737471266,0.9611111111111111,0.0921087223141,0.9722222222222222,0.11824334604428803,0.9633333333333334,0.9633333333333334,0.9633296662999633,4.037939400004689,720,180,300,2,2,6,2498,,,,0.23174568454640523,0.6701050445799129,0.13657918089396293,-0.23570242459405316,0.831490212847948,2.3484466508321704
moons,BP-MWBP,4,core,bp,0,0,0,0,,97,117,True,0.06414336563583119,0.11436212655361754,0.9597222222222223,0.06414336563583119,0.9777777777777777,0.09745280652532815,0.96,0.96,0.9599982221432064,3.4411722000222653,720,180,300,2,2,6,2498,,,,0.1268722295879152,0.664849687676624,0.12539770951658702,-0.23581915977303788,0.8023516825991988,2.2945498348900215
moons,BP-MWBP,5,core,bp,0,0,0,0,,92,112,True,0.08906210662671597,0.11058807490423557,0.9527777777777777,0.08906210662671597,0.9611111111111111,0.14947684431558608,0.9433333333333334,0.9433333333333334,0.9432570455835068,2.8329579000128433,720,180,300,2,2,6,2498,,,,0.10625249920283542,0.6858899979464262,0.1419156814629701,-0.23581236989993834,0.8317060556999478,2.349058807488674
moons,BP-MWBP,6,core,bp,0,0,0,0,,76,96,True,0.09093963067226998,0.11639244363189426,0.9583333333333334,0.09093963067226998,0.9666666666666667,0.07763418306950352,0.9733333333333334,0.9733333333333334,0.9733321480954709,2.6464280000072904,720,180,300,2,2,6,2498,,,,0.2493860439753085,0.4693400635095536,0.11174001943106085,-0.23585096999963445,0.6420659177201389,2.018457306885428
moons,BP-MWBP,7,core,bp,0,0,0,0,,84,104,True,0.04530177539880584,0.0746865341258613,0.9777777777777777,0.04530177539880584,0.9888888888888889,0.13122762938436344,0.95,0.95,0.9499949994999499,2.7613425999879837,720,180,300,2,2,6,2498,,,,0.24446935762499883,0.5574612791114604,0.10896005880045373,-0.23580900676922215,0.7110847119345728,2.132969147388798
moons,FA-Momentum,0,core,fa,0,0,0,0,,150,150,False,0.16976684731638272,0.14371406843692786,0.9513888888888888,0.16976684731638272,0.9277777777777778,0.14790565819101456,0.9466666666666667,0.9466666666666667,0.9466666666666667,1.4818824999965727,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,2,core,fa,0,0,0,0,,13,33,True,0.35563389607269896,0.3728406775327488,0.8694444444444445,0.35563389607269896,0.8833333333333333,0.34070199808167617,0.89,0.8899999999999999,0.8899694359544318,0.3039453999954276,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-MWBP,9,core,bp,0,0,0,0,,76,96,True,0.13581913539571236,0.08318454195580778,0.9638888888888889,0.13581913539571236,0.9388888888888889,0.11121042801543579,0.9633333333333334,0.9633333333333334,0.9633296662999633,2.6800087000010535,720,180,300,2,2,6,2498,,,,0.07807014977877567,0.9228480869000855,0.16516531542405985,-0.23577321929128883,1.006655357761803,2.7018665842201903
moons,FA-Momentum,1,core,fa,0,0,0,0,,150,150,False,0.12763791148275422,0.11965562823241324,0.9541666666666667,0.12763791148275422,0.9444444444444444,0.12233771740716906,0.97,0.97,0.9699996666629629,1.4603363000205718,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-MWBP,8,core,bp,0,0,0,0,,91,111,True,0.1298835082310982,0.12226919662740394,0.9513888888888888,0.1298835082310982,0.9555555555555556,0.125078795281629,0.9466666666666667,0.9466666666666667,0.9466666666666667,3.0408402999746613,720,180,300,2,2,6,2498,,,,0.34859807230638373,0.6856433254864589,0.1082050633263454,-0.23562276363552986,0.819620557368602,2.3261037482098015
moons,FA-Momentum,3,core,fa,0,0,0,0,,142,150,False,0.1389612120734006,0.0929768295329573,0.9666666666666667,0.1389612120734006,0.9555555555555556,0.12521892095289772,0.9566666666666667,0.9566666666666667,0.9566546262850792,1.428474299958907,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,4,core,fa,0,0,0,0,,136,150,False,0.06586605090870092,0.1215298517772257,0.9569444444444445,0.06586605090870092,0.9777777777777777,0.10617401386441552,0.9566666666666667,0.9566666666666667,0.9566623328999566,1.502963000035379,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,6,core,fa,0,0,0,0,,144,150,False,0.09234887884756537,0.11737369857394495,0.9555555555555556,0.09234887884756537,0.9666666666666667,0.08757871690274441,0.9666666666666667,0.9666666666666667,0.9666607396870555,1.5596783999935724,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,5,core,fa,0,0,0,0,,144,150,False,0.09047387413163285,0.10977001143718504,0.9541666666666667,0.09047387413163285,0.9611111111111111,0.14227997289044622,0.96,0.96,0.959983993597439,1.6073196000070311,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,7,core,fa,0,0,0,0,,150,150,False,0.043784393403221114,0.09365733287564602,0.9722222222222222,0.043784393403221114,0.9888888888888889,0.12994619009882596,0.9533333333333334,0.9533333333333334,0.9533312591670741,1.6039255999494344,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,8,core,fa,0,0,0,0,,132,150,False,0.12344852328095766,0.14978818519476128,0.9486111111111111,0.12344852328095766,0.9722222222222222,0.13639152489747583,0.9533333333333334,0.9533333333333334,0.9533312591670741,1.5292480000061914,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,0,core,dfa,0,0,0,0,,149,150,False,0.3293419019184556,0.27707935003631035,0.8888888888888888,0.3293419019184556,0.8611111111111112,0.2946514183017151,0.8733333333333333,0.8733333333333333,0.8732826463918901,1.351034499995876,720,180,300,2,2,6,2498,,,,,,,,,
moons,FA-Momentum,9,core,fa,0,0,0,0,,150,150,False,0.20067664584226444,0.15774413735325424,0.9388888888888889,0.20067664584226444,0.9277777777777778,0.1703950331717531,0.9433333333333334,0.9433333333333334,0.9433276660999433,1.4373203000286594,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,1,core,dfa,0,0,0,0,,150,150,False,0.2888398019618868,0.2894126540742565,0.8763888888888889,0.2888398019618868,0.85,0.2732361028795803,0.9133333333333333,0.9133333333333333,0.9133294813102805,1.4628535999800079,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,5,core,dfa,0,0,0,0,,8,28,True,0.34776320786614484,0.35838616088007913,0.8708333333333333,0.34776320786614484,0.8833333333333333,0.39067130324253135,0.8433333333333334,0.8433333333333333,0.8428286386284849,0.2556789999944158,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,2,core,dfa,0,0,0,0,,138,150,False,0.30119504420215054,0.2986656704981768,0.8736111111111111,0.30119504420215054,0.8722222222222222,0.26668286370249045,0.8833333333333333,0.8833333333333333,0.8830409356725146,1.4067460999940522,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,3,core,dfa,0,0,0,0,,149,150,False,0.3420332784706051,0.28958641641159816,0.8861111111111111,0.3420332784706051,0.8388888888888889,0.3357004567862323,0.87,0.87,0.8699291836666629,1.4054758000420406,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,4,core,dfa,0,0,0,0,,143,150,False,0.27390385271372014,0.32921344577556005,0.8486111111111111,0.27390385271372014,0.8944444444444445,0.2903633511573071,0.8766666666666667,0.8766666666666667,0.8766652962810697,1.3920497000217438,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,6,core,dfa,0,0,0,0,,149,150,False,0.3045387845693984,0.3396899459449737,0.8625,0.3045387845693984,0.8722222222222222,0.3138171031023982,0.86,0.86,0.86,1.3675016000051983,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,7,core,dfa,0,0,0,0,,149,150,False,0.28661114134610854,0.30586180369318977,0.8722222222222222,0.28661114134610854,0.8666666666666667,0.3077049253920542,0.8633333333333333,0.8633333333333333,0.8632953598221729,1.3127740999916568,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,0,core,localhead,0,0,0,0,,8,28,True,0.345606173441859,0.3084947755033939,0.8833333333333333,0.345606173441859,0.8666666666666667,0.3196699001938268,0.87,0.8700000000000001,0.8699638788552375,0.29019420000258833,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,9,core,dfa,0,0,0,0,,150,150,False,0.32025958592512654,0.30593264486976923,0.8652777777777778,0.32025958592512654,0.8777777777777778,0.29921036856746364,0.8633333333333333,0.8633333333333333,0.8633196652998634,1.2815835000365041,720,180,300,2,2,6,2498,,,,,,,,,
moons,DFA-Momentum,8,core,dfa,0,0,0,0,,141,150,False,0.322168990310688,0.33885775984363814,0.8694444444444445,0.322168990310688,0.8833333333333333,0.3152030663167802,0.8666666666666667,0.8666666666666667,0.8666133119914632,1.3681315000285394,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,2,core,localhead,0,0,0,0,,10,30,True,0.3204739424565276,0.3204935742559404,0.8791666666666667,0.3204739424565276,0.8722222222222222,0.289752505561549,0.8933333333333333,0.8933333333333333,0.8933285923818837,0.3175355999846943,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,1,core,localhead,0,0,0,0,,13,33,True,0.33900561817256697,0.33146586896503666,0.8652777777777778,0.33900561817256697,0.8388888888888889,0.2988124346589973,0.8933333333333333,0.8933333333333333,0.8933143669985775,0.41131689999019727,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,5,core,localhead,0,0,0,0,,9,29,True,0.3157693784989114,0.31861593833532453,0.8722222222222222,0.3157693784989114,0.8722222222222222,0.34612826689566456,0.86,0.86,0.8596944456817068,0.35962590004783124,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,7,core,localhead,0,0,0,0,,8,28,True,0.3112438618772864,0.32697117612373866,0.8736111111111111,0.3112438618772864,0.8666666666666667,0.324480015130944,0.8633333333333333,0.8633333333333333,0.8632953598221729,0.3185978000401519,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,8,core,localhead,0,0,0,0,,30,50,True,0.32580997987547516,0.34252477831670297,0.8722222222222222,0.32580997987547516,0.8833333333333333,0.31472304330752804,0.8633333333333333,0.8633333333333333,0.8632953598221729,0.5890203000162728,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,3,core,localhead,0,0,0,0,,149,150,False,0.369909005071449,0.3010546232501367,0.8930555555555556,0.369909005071449,0.85,0.34625420292888104,0.8666666666666667,0.8666666666666667,0.866642958748222,1.7539586999919266,720,180,300,2,2,6,2498,,,,,,,,,
moons,LocalHead-Momentum,4,core,localhead,0,0,0,0,,150,150,False,0.28846372107375545,0.3489295318841239,0.8458333333333333,0.28846372107375545,0.8888888888888888,0.3051312077710368,0.87,0.87,0.869998555539506,1.7365417000255547,720,180,300,2,2,6,2498,,,,,,,,,
