experiment_group,dataset,method,n,test_accuracy_mean,test_accuracy_std,test_accuracy_ci95_low,test_accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,test_loss_mean,test_loss_std,test_loss_ci95_low,test_loss_ci95_high,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95_low,elapsed_seconds_ci95_high,best_epoch_mean,best_epoch_std,best_epoch_ci95_low,best_epoch_ci95_high,early_stop_fraction
core,breast_cancer,CAT64-Momentum,10,0.9727272727272727,0.012957521780594238,0.9634580200370303,0.981996525417515,0.9701886792452828,0.015133048174890251,0.9593631487247208,0.9810142097658449,0.9707083065237259,0.013966315858162177,0.9607174060233751,0.9806992070240766,0.07679336369132674,0.029301709863379356,0.05583218318329165,0.09775454419936182,7.024976210016757,2.426622304673134,5.2890751861434895,8.760877233890024,40.9,17.62227126236696,28.29378655326593,53.506213446734066,1.0
core,breast_cancer,DFA-Momentum,10,0.9685314685314687,0.014834407996920599,0.9579195723246229,0.9791433647383144,0.9664675052410902,0.016352682803925787,0.9547695006658651,0.9781655098163152,0.9662777918702783,0.01594078344674274,0.9548744423447862,0.9776811413957703,0.13607683796803635,0.05620641234756277,0.09586919273437902,0.17628448320169368,0.3152264199918136,0.1364568559185109,0.21761106574105094,0.4128417742425763,32.9,20.19048180592914,18.456599404896657,47.34340059510334,1.0
core,breast_cancer,FA-Momentum,10,0.9657342657342657,0.01295752178059422,0.9564650130440233,0.975003518424508,0.9630817610062895,0.013664214351467684,0.9533069709050621,0.9728565511075169,0.9632722468868501,0.013873114104651453,0.9533480189045235,0.9731964748691767,0.12457839578258001,0.037129943937046446,0.09801723396825393,0.1511395575969061,0.5148215399996843,0.31347293949158384,0.29057650789391476,0.7390665721054538,68.1,55.476621702799775,28.414415543999553,107.78558445600044,0.7
core,breast_cancer,LocalHead-Momentum,10,0.9671328671328672,0.014388157913296949,0.9568401990051394,0.977425535260595,0.9638050314465408,0.017132659714875466,0.9515490650015564,0.9760609978915252,0.964659457827271,0.015579762082875174,0.953514367427631,0.9758045482269111,0.1151592796055501,0.04398661125483921,0.08369315347337644,0.14662540573772376,0.7303386400046292,0.24821249148466007,0.5527781200685056,0.9078991599407529,95.8,46.97469768100932,62.196325607175524,129.40367439282448,0.6
core,circles,AR64-Momentum,10,0.9956666666666665,0.0035311663515712834,0.9931406224308763,0.9981927109024566,0.9956666666666667,0.00353116635157126,0.9931406224308765,0.9981927109024569,0.9956664999872828,0.0035313858625968743,0.9931402987227645,0.9981927012518012,0.013813326987246305,0.006594845372907638,0.009095658805811577,0.018530995168681032,17.10064992000698,2.76189547101052,15.124908921201685,19.076390918812272,123.7,28.49580865866261,103.31532648430337,144.08467351569664,0.4
core,circles,BP-Adam,10,0.9950000000000001,0.0036004114991154924,0.992424420769708,0.9975755792302922,0.9949999999999999,0.0036004114991154638,0.9924244207697078,0.9975755792302919,0.9949997296068703,0.003600744909626445,0.9924239118690666,0.997575547344674,0.014995859560766706,0.0074307579730925125,0.009680215527987058,0.020311503593546353,0.7045916600152851,0.3228659481394892,0.4736272743052282,0.9355560457253419,61.7,34.46753706186607,37.04340933038505,86.35659066961495,1.0
core,circles,BP-MWBP,10,0.9953333333333333,0.0039126259692575695,0.9925344093256756,0.998132257340991,0.9953333333333333,0.0039126259692575495,0.9925344093256756,0.998132257340991,0.9953331555427148,0.00391282513064452,0.9925340890635835,0.9981322220218461,0.013920606334500579,0.0064786787607018816,0.009286038741352507,0.01855517392764865,3.2610151399916503,0.5736070587742783,2.8506813691738104,3.67134891080949,124.2,26.48605503111234,105.25301762110658,143.14698237889343,0.4
core,circles,BP-Momentum,10,0.9956666666666667,0.003531166351571284,0.9931406224308765,0.9981927109024569,0.9956666666666667,0.00353116635157126,0.9931406224308765,0.9981927109024569,0.9956664999872828,0.0035313858625968743,0.9931402987227645,0.9981927012518012,0.013786002222242244,0.006592273680652581,0.009070173718622246,0.018501830725862242,1.0215349700069054,0.17604678179008865,0.8955986888763432,1.1474712511374676,123.7,28.49580865866261,103.31532648430337,144.08467351569664,0.4
core,circles,CAT40-Momentum,10,0.9946666666666666,0.004499657051403695,0.9914478059203659,0.9978855274129673,0.9946666666666666,0.004499657051403681,0.9914478059203659,0.9978855274129673,0.9946664962845256,0.004499816815174281,0.9914475212501083,0.997885471318943,0.013850980317654462,0.006397524552478109,0.009274466947809283,0.018427493687499644,14.904349529987666,1.7090520655055323,13.681767332234646,16.126931727740686,130.2,22.753754268984565,113.92294474652022,146.47705525347976,0.3
core,circles,CAT64-MWBP,10,0.9953333333333333,0.0039126259692575695,0.9925344093256756,0.998132257340991,0.9953333333333333,0.0039126259692575495,0.9925344093256756,0.998132257340991,0.9953331555427148,0.00391282513064452,0.9925340890635835,0.9981322220218461,0.013935193819849995,0.006475917948320596,0.009302601192905015,0.018567786446794975,25.940603750001173,3.9601506123494685,23.107682660703027,28.77352483929932,124.2,26.48605503111234,105.25301762110658,143.14698237889343,0.4
core,circles,CAT64-MWBP-local,10,0.9953333333333333,0.0039126259692575695,0.9925344093256756,0.998132257340991,0.9953333333333333,0.0039126259692575495,0.9925344093256756,0.998132257340991,0.9953331555427148,0.00391282513064452,0.9925340890635835,0.9981322220218461,0.01384972437604325,0.0066195762452563815,0.009114364794282731,0.01858508395780377,26.39938551999512,3.897638871630652,23.611182636125534,29.18758840386471,124.4,26.692487499086496,105.30534472952104,143.49465527047897,0.4
core,circles,CAT64-MWBP-local-EM,10,0.9953333333333333,0.0039126259692575695,0.9925344093256756,0.998132257340991,0.9953333333333333,0.0039126259692575495,0.9925344093256756,0.998132257340991,0.9953331555427148,0.00391282513064452,0.9925340890635835,0.9981322220218461,0.013848748196223495,0.0066171981637342244,0.009115089791502856,0.018582406600944134,25.24022325000842,3.707936261436181,22.587725438425462,27.892721061591377,124.4,26.692487499086496,105.30534472952104,143.49465527047897,0.4
core,circles,CAT64-Momentum,10,0.9956666666666665,0.0035311663515712834,0.9931406224308763,0.9981927109024566,0.9956666666666667,0.00353116635157126,0.9931406224308765,0.9981927109024569,0.9956664999872828,0.0035313858625968743,0.9931402987227645,0.9981927012518012,0.01380173892890921,0.006593512079012552,0.009085024528470044,0.01851845332934838,24.18651802999666,3.8716133241120954,21.416932701276597,26.95610335871672,123.7,28.495808658662614,103.31532648430337,144.08467351569664,0.4
core,circles,DFA-Momentum,10,0.9949999999999999,0.0047790695928014845,0.9915812595625905,0.9984187404374093,0.9949999999999999,0.004779069592801432,0.9915812595625905,0.9984187404374093,0.994999788870739,0.00477952745950147,0.9915807208952238,0.9984188568462543,0.015311737611100959,0.013588069262133696,0.005591418425385731,0.025032056796816186,1.1849431899783667,0.181098413006824,1.0553931895704065,1.3144931903863268,131.1,29.114524821050328,110.2727236046927,151.92727639530727,0.3
core,circles,FA-Momentum,10,0.9953333333333333,0.005018484351393875,0.9917433258949693,0.9989233407716973,0.9953333333333333,0.005018484351393863,0.9917433258949693,0.9989233407716973,0.995333274072428,0.0050185215269516435,0.991743240040272,0.998923308104584,0.02279692681130089,0.018210702992423243,0.009769774662768392,0.03582407895983339,1.3012777999858371,0.09244457399746295,1.235146935555602,1.3674086644160723,142.1,12.626691305854171,133.0674091745743,151.1325908254257,0.2
core,circles,LocalHead-Momentum,10,0.8860000000000001,0.22116303131344778,0.7277894982006098,1.0442105017993906,0.8860000000000001,0.22116303131344778,0.7277894982006098,1.0442105017993906,0.8856462794853538,0.22192400179485477,0.7268914121968357,1.0444011467738719,0.16772849261740158,0.28102352009014275,-0.03330362322423505,0.36876060845903824,1.3136044200102333,0.5320123529430313,0.9330257092613297,1.6941831307591368,119.2,59.46950665864164,76.65807771602113,161.74192228397888,0.2
core,digits,AR64-Momentum,10,0.9568888888888889,0.01249197273116015,0.9479526699262355,0.9658251078515423,0.9565563266640111,0.012542843705948778,0.9475837167982283,0.965528936529794,0.9566010462336008,0.012684569406213963,0.9475270519093771,0.9656750405578244,0.15138118274893067,0.04019343011394728,0.12262853494155877,0.18013383055630255,52.33266514000134,3.4036080222453715,49.89787063601079,54.767459643991884,142.6,10.946333734279355,134.76946456793013,150.43053543206986,0.1
core,digits,BP-Adam,10,0.9613333333333334,0.011580220590140917,0.9530493425613077,0.9696173241053591,0.961069624454862,0.011632475964511993,0.9527482524399049,0.9693909964698191,0.9611057779545007,0.011637008097987686,0.952781163846563,0.9694303920624384,0.15149018166214107,0.0424086110633541,0.12115288886459719,0.18182747445968495,1.7733001600077842,0.6093789828938025,1.337376696230552,2.2092236237850162,25.7,11.860766323378005,17.21531890025761,34.18468109974239,1.0
core,digits,BP-MWBP,10,0.9580000000000002,0.012633919115163917,0.9489622387112696,0.9670377612887308,0.9576531646086753,0.012690859578663557,0.9485746705661501,0.9667316586512006,0.9577017704629156,0.012838439001954065,0.9485177044607577,0.9668858364650735,0.15121908612318352,0.039365709198942535,0.12305855418859125,0.1793796180577758,8.646913459990174,1.679368930524348,7.445565297837328,9.848261622143019,140.6,14.945828106123054,129.90839864857023,151.29160135142976,0.1
core,digits,BP-Momentum,10,0.9575555555555557,0.012849236578818046,0.9483637654322202,0.9667473456788912,0.957223212917854,0.012890556235800073,0.9480018644925433,0.9664445613431646,0.9572701472905362,0.013051199424344656,0.9479338816509002,0.9666064129301721,0.15157454428855643,0.03964380936880634,0.12321507147689556,0.1799340171002173,4.439673550013685,0.8332530020925817,3.84360026053124,5.03574683949613,140.9,14.502490207623733,130.5255434759481,151.2744565240519,0.1
core,digits,CAT40-Momentum,10,0.9566666666666667,0.01249416873587629,0.9477288767768739,0.9656044565564594,0.9563193921009896,0.012585732383474765,0.9473161015235498,0.9653226826784294,0.956340463398568,0.012747075562947578,0.9472217548634583,0.9654591719336778,0.1539735471736165,0.04072441696212729,0.12484105425741004,0.18310604008982295,45.03137458000565,4.348791827284711,41.92043631365188,48.14231284635942,142.6,10.946333734279355,134.76946456793013,150.43053543206986,0.1
core,digits,CAT64-MWBP,10,0.957777777777778,0.013042086564191839,0.9484480310855856,0.9671075244699703,0.9574309423864531,0.013100095452747115,0.948059698635224,0.9668021861376822,0.9574776784314372,0.013256689945286209,0.9479944137285304,0.9669609431343439,0.15135230219863358,0.039403158811925756,0.12316498042476717,0.17953962397249998,80.24788382999832,5.70959060303786,76.16348876174905,84.33227889824758,140.6,14.945828106123054,129.90839864857023,151.29160135142976,0.1
core,digits,CAT64-MWBP-local,10,0.958,0.013018926815155726,0.9486868207942215,0.9673131792057784,0.9576683314438623,0.013105453721824705,0.9482932546178444,0.9670434082698802,0.9577019563360561,0.013260984775258033,0.948215619296869,0.9671882933752433,0.15132798376363693,0.03941854961240466,0.12312965207435925,0.17952631545291461,73.48571250000387,4.665849894461878,70.1479645556956,76.82346044431215,140.4,14.953260514014994,129.70308182425663,151.09691817574338,0.1
core,digits,CAT64-MWBP-local-EM,10,0.958,0.013018926815155726,0.9486868207942215,0.9673131792057784,0.9576683314438623,0.013105453721824705,0.9482932546178444,0.9670434082698802,0.9577019563360561,0.013260984775258033,0.948215619296869,0.9671882933752433,0.15132194035793517,0.039423328598693866,0.12312018998781188,0.17952369072805846,80.66963280999335,7.939747803300586,74.98987938709652,86.34938623289017,140.4,14.953260514014994,129.70308182425663,151.09691817574338,0.1
core,digits,CAT64-Momentum,10,0.9573333333333334,0.012692414809246728,0.94825372674587,0.9664129399207967,0.9570009906956317,0.012740798553930151,0.9478867724622715,0.9661152089289919,0.9570479250683139,0.012892348982814045,0.9478252941890462,0.9662705559475817,0.15166797513133876,0.03961330321128753,0.12333032511013414,0.18000562515254337,64.61618661000394,9.21130414520954,58.02681657656927,71.2055566434386,141.3,14.712428608341845,130.77536259116226,151.82463740883776,0.1
