experiment_group,dataset,method,baseline,n_pairs,accuracy_difference_mean,loss_difference_mean,loss_difference_ci95_low,loss_difference_ci95_high,paired_effect_dz,method_better_loss_count,wilcoxon_loss_p,wilcoxon_loss_p_holm
core,breast_cancer,CAT64-Momentum,AR64-Momentum,10,0.0,-1.3559595579949736e-06,-1.961124728330649e-05,1.7134571371928143e-05,-0.04279535390410185,6,0.921875,1.0
core,breast_cancer,CAT64-Momentum,CAT40-Momentum,10,0.0013986013986013956,-0.00010872357628820411,-0.0005762588686547259,0.0003677192221466559,-0.13347545307137718,6,0.76953125,1.0
core,breast_cancer,CAT64-MWBP,CAT64-Momentum,10,-0.0013986013986013956,0.00019439807399964927,-0.000225693964251743,0.0006777722645640135,0.24824220868685826,4,0.6953125,1.0
core,breast_cancer,CAT64-MWBP,CAT64-MWBP-local,10,0.0006993006993006978,-5.4086403630022875e-05,-0.0001935321152582492,6.932709741383735e-05,-0.23646463030650297,5,0.6953125,1.0
core,breast_cancer,CAT64-MWBP,CAT64-MWBP-local-EM,10,0.0006993006993006978,-4.589223270350246e-05,-0.00016869416994971662,6.610765022045985e-05,-0.22512194837064867,5,0.6953125,1.0
core,circles,FA-Momentum,BP-Momentum,10,-0.00033333333333331885,0.009010924589058647,0.0007090339310130442,0.02130792035339672,0.48600691813545766,2,0.064453125,1.0
core,circles,DFA-Momentum,BP-Momentum,10,-0.0006666666666666598,0.0015257353888587166,-0.003005693042626973,0.007831372113315981,0.1590316873887821,6,0.845703125,1.0
core,circles,LocalHead-Momentum,BP-Momentum,10,-0.10966666666666662,0.1539424903951593,0.017545863731534325,0.3466169973816347,0.5537035718121514,1,0.00390625,0.3203125
core,circles,AR64-Momentum,BP-Momentum,10,0.0,2.7324765004060978e-05,1.020511506680891e-05,4.397882377076689e-05,0.9442995932235851,2,0.01953125,1.0
core,circles,CAT40-Momentum,BP-Momentum,10,-0.0009999999999999898,6.497809541221775e-05,-0.00031482445155443323,0.0003984981960868675,0.10581747842739846,4,0.6953125,1.0
core,circles,CAT64-Momentum,BP-Momentum,10,0.0,1.5736706666968828e-05,5.771237661041101e-06,2.526963703824797e-05,0.9524978565486258,2,0.01953125,1.0
core,circles,BP-MWBP,BP-Momentum,10,-0.0003333333333333299,0.00013460411225833764,-0.0007265622780200588,0.0009549840171886732,0.09432627133606476,5,0.76953125,1.0
core,circles,CAT64-Momentum,AR64-Momentum,10,0.0,-1.158805833709215e-05,-1.882377578070083e-05,-4.154982384603349e-06,-0.9254073965471669,8,0.02734375,1.0
core,circles,CAT64-Momentum,CAT40-Momentum,10,0.0009999999999999898,-4.924138874524892e-05,-0.0003812899747767374,0.000327617931405481,-0.08121220788174882,6,0.6953125,1.0
core,circles,CAT64-MWBP,CAT64-Momentum,10,-0.0003333333333333299,0.00013345489094078022,-0.0007287692873107426,0.0009529107938461357,0.09351954530588791,5,0.76953125,1.0
core,circles,CAT64-MWBP,CAT64-MWBP-local,10,0.0,8.546944380674552e-05,-9.573221394548487e-05,0.00033639563594451614,0.22839321347863645,6,1.0,1.0
core,circles,CAT64-MWBP,CAT64-MWBP-local-EM,10,0.0,8.644562362649703e-05,-9.039200280352499e-05,0.00033222664420724893,0.236381118104888,6,1.0,1.0
core,digits,FA-Momentum,BP-Momentum,10,-0.031777777777777794,0.11152553668554996,0.08800939321503831,0.13541245936199045,2.7624189728603747,0,0.001953125,0.177734375
core,digits,DFA-Momentum,BP-Momentum,10,-0.009111111111111125,0.0429994632619029,0.021536308561258693,0.06909968641166231,1.0581775052013742,0,0.001953125,0.177734375
core,digits,LocalHead-Momentum,BP-Momentum,10,-0.0035555555555555783,0.03193571049703986,0.016021921283205984,0.04950221856694899,1.127800019786093,1,0.00390625,0.3203125
core,digits,AR64-Momentum,BP-Momentum,10,-0.000666666666666671,-0.00019336153962577068,-0.0009459006049996245,0.00024332153653150316,-0.1671501494398146,2,0.193359375,1.0
core,digits,CAT40-Momentum,BP-Momentum,10,-0.0008888888888888946,0.0023990028850600434,0.0008496307457880298,0.004248315356373676,0.8340926569931413,1,0.01953125,1.0
core,digits,CAT64-Momentum,BP-Momentum,10,-0.00022222222222222364,9.343084278233133e-05,4.266997635032077e-05,0.0001346536133189525,1.1773070691857321,1,0.013671875,0.984375
core,digits,BP-MWBP,BP-Momentum,10,0.0004444444444444473,-0.00035545816537291275,-0.0015805571659377785,0.0008180756838390948,-0.17343239083099996,6,1.0,1.0
core,digits,CAT64-Momentum,AR64-Momentum,10,0.0004444444444444473,0.000286792382408102,-0.0001364909267991864,0.0010574140016925125,0.242174494998945,8,0.193359375,1.0
core,digits,CAT64-Momentum,CAT40-Momentum,10,0.000666666666666671,-0.0023055720422777122,-0.00413697247615832,-0.0007876268802488212,-0.814677168109966,9,0.01953125,1.0
core,digits,CAT64-MWBP,CAT64-Momentum,10,0.0004444444444444473,-0.00031567293270517993,-0.0015726782761593995,0.000876535242317848,-0.1500107646720495,6,1.0,1.0
core,digits,CAT64-MWBP,CAT64-MWBP-local,10,-0.00022222222222221256,2.4318434996654924e-05,-0.0004945914928414217,0.0005251906671169185,0.027849104281100056,6,0.921875,1.0
core,digits,CAT64-MWBP,CAT64-MWBP-local-EM,10,-0.00022222222222221256,3.0361840698396592e-05,-0.0004665104547476353,0.0005109533690009277,0.03636052023418738,4,1.0,1.0
