dataset,seed,family,method,affine_depth,graph_diameter,best_epoch,stopped_epoch,best_validation_loss,test_loss,test_accuracy,elapsed_seconds,pullback_direction_norm,pullback_force_norm,pullback_precondition_ratio,transport_all_blocks_reached,transport_reached_blocks,transport_steps,transport_factor_gap,transport_graph_diameter,transport_max_factor_norm,transport_min_factor_norm,edge_energy,gauge_capture,gauge_coordinate_change_residual,gauge_explicit_transport,gauge_frame_orthogonality_error,gauge_transport_residual,gauge_transport_residual_max,metric_condition_bound,metric_eig_max,metric_eig_min,metric_energy,wave_energy
digits,2,pullback,local_output_only,6,5,40,40,0.19349345459941372,0.22926883640525472,0.9311111111111111,12.0901162000373,,,,0.0,1.0,5.0,0.7647319974129834,5.0,2.837116539948644,0.0,,,,,,,,,,,,
digits,2,pullback,partial_3hop,6,5,40,40,0.19311582006051375,0.2286757331778461,0.9311111111111111,9.881962299987208,,,,0.0,4.0,3.0,0.48947901171888586,5.0,2.8401041323744174,0.0,,,,,,,,,,,,
digits,2,pullback,full_reach,6,5,40,40,0.1929740247519356,0.22854234269555618,0.9311111111111111,9.85687160002999,,,,1.0,6.0,5.0,0.3059390468876301,5.0,3.0368810937899657,0.5091514775985676,,,,,,,,,,,,
digits,2,pullback,relaxed_10hop,6,5,40,40,0.1927094343328837,0.22950762535468794,0.9311111111111111,10.497327300021425,,,,1.0,6.0,10.0,0.035962955292261255,5.0,5.49545990928845,2.6697203041047515,,,,,,,,,,,,
digits,2,gauge,transported_propagating,6,5,40,40,0.1888522356762463,0.22451274316465716,0.9288888888888889,29.707510099979118,,,,,,,,,,,0.03750034294153371,0.16080498429164616,1.2165713637416709,1.0,4.809821241798366e-15,0.4810619839278615,0.7153603696332097,1.308351944850566,0.20453736043152881,-0.13021992684369094,0.04869572688642783,0.2315719733997793
digits,2,gauge,transported_local,6,5,40,40,0.18881827959739914,0.22451809487813504,0.9288888888888889,30.283728600014,,,,,,,,,,,0.2000413422776631,0.16078830280541098,1.216559008498119,1.0,4.7963301533424955e-15,0.4810877396910361,0.7152386026513375,1.816166764517757,0.42288255745384323,-0.31614393056297624,0.2000413422776631,0.20059546810472162
digits,3,pullback,instantaneous,6,5,40,40,0.2046619562074229,0.1940897700935309,0.9622222222222222,17.745176700002048,0.22170695066180615,0.23711593753507584,0.9353681547632883,1.0,6.0,5.0,,,,,,,,,,,,,,,,
digits,3,pullback,local_output_only,6,5,40,40,0.20421290463591057,0.19485280296613672,0.96,15.995049400022253,,,,0.0,1.0,5.0,0.7653620287794324,5.0,2.7728755496883846,0.0,,,,,,,,,,,,
digits,3,pullback,partial_3hop,6,5,40,40,0.20423305725333069,0.19398278184873488,0.9622222222222222,16.306185699999332,,,,0.0,4.0,3.0,0.48987630619581035,5.0,2.820571998836784,0.0,,,,,,,,,,,,
digits,3,pullback,full_reach,6,5,40,40,0.20416219886852488,0.19382397389525136,0.9622222222222222,15.802154000033624,,,,1.0,6.0,5.0,0.30618387587846585,5.0,3.1748940364373675,0.5096805319014239,,,,,,,,,,,,
